Id;date;station;count
2;2022-07-20;18th St & Wyoming Ave NW;86
3;2022-05-26;18th St & Wyoming Ave NW;64
4;2022-09-23;18th St & Wyoming Ave NW;78
5;2022-08-09;18th St & Wyoming Ave NW;132
6;2022-07-23;18th St & Wyoming Ave NW;95
7;2022-07-21;18th St & Wyoming Ave NW;83
8;2022-07-22;18th St & Wyoming Ave NW;74
9;2022-06-01;18th St & Wyoming Ave NW;68
10;2022-06-17;18th St & Wyoming Ave NW;62
11;2022-07-24;18th St & Wyoming Ave NW;72
12;2022-08-04;18th St & Wyoming Ave NW;110
13;2022-07-06;18th St & Wyoming Ave NW;69
14;2022-07-28;18th St & Wyoming Ave NW;83
15;2022-07-25;18th St & Wyoming Ave NW;59
16;2022-08-03;18th St & Wyoming Ave NW;152
17;2022-08-08;18th St & Wyoming Ave NW;144
18;2022-08-02;18th St & Wyoming Ave NW;152
19;2022-07-19;18th St & Wyoming Ave NW;71
20;2022-08-29;18th St & Wyoming Ave NW;124
21;2022-08-10;18th St & Wyoming Ave NW;124
22;2022-05-21;18th St & Wyoming Ave NW;74
23;2022-07-02;18th St & Wyoming Ave NW;75
24;2022-07-18;18th St & Wyoming Ave NW;52
25;2022-05-31;18th St & Wyoming Ave NW;62
26;2022-08-26;18th St & Wyoming Ave NW;182
27;2022-07-01;18th St & Wyoming Ave NW;87
28;2022-08-28;18th St & Wyoming Ave NW;160
29;2022-08-07;18th St & Wyoming Ave NW;160
30;2022-08-27;18th St & Wyoming Ave NW;200
31;2022-08-30;18th St & Wyoming Ave NW;124
32;2022-06-30;18th St & Wyoming Ave NW;57
33;2022-07-15;18th St & Wyoming Ave NW;114
34;2022-06-13;18th St & Wyoming Ave NW;56
35;2022-09-04;18th St & Wyoming Ave NW;91
36;2022-07-29;18th St & Wyoming Ave NW;67
37;2022-07-27;18th St & Wyoming Ave NW;79
38;2022-07-03;18th St & Wyoming Ave NW;72
39;2022-06-02;18th St & Wyoming Ave NW;53
40;2022-07-30;18th St & Wyoming Ave NW;109
41;2022-08-06;18th St & Wyoming Ave NW;138
42;2022-09-05;18th St & Wyoming Ave NW;41
43;2022-07-14;18th St & Wyoming Ave NW;68
44;2022-08-20;18th St & Wyoming Ave NW;200
45;2022-06-26;18th St & Wyoming Ave NW;46
46;2022-08-24;18th St & Wyoming Ave NW;162
47;2022-06-15;18th St & Wyoming Ave NW;72
48;2022-08-25;18th St & Wyoming Ave NW;146
49;2022-05-22;18th St & Wyoming Ave NW;39
50;2022-07-04;18th St & Wyoming Ave NW;54
51;2022-07-16;18th St & Wyoming Ave NW;99
52;2022-08-05;18th St & Wyoming Ave NW;132
53;2022-07-13;18th St & Wyoming Ave NW;60
54;2022-08-23;18th St & Wyoming Ave NW;138
55;2022-09-03;18th St & Wyoming Ave NW;78
56;2022-07-08;18th St & Wyoming Ave NW;89
57;2022-08-19;18th St & Wyoming Ave NW;186
58;2022-06-16;18th St & Wyoming Ave NW;56
59;2022-06-14;18th St & Wyoming Ave NW;83
60;2022-09-01;18th St & Wyoming Ave NW;74
61;2022-09-02;18th St & Wyoming Ave NW;63
62;2022-07-31;18th St & Wyoming Ave NW;78
63;2022-07-07;18th St & Wyoming Ave NW;61
64;2022-06-22;18th St & Wyoming Ave NW;45
65;2022-07-12;18th St & Wyoming Ave NW;48
66;2022-08-01;18th St & Wyoming Ave NW;152
67;2022-08-11;18th St & Wyoming Ave NW;182
68;2022-07-05;18th St & Wyoming Ave NW;54
69;2022-09-06;18th St & Wyoming Ave NW;39
70;2022-08-31;18th St & Wyoming Ave NW;158
71;2022-07-26;18th St & Wyoming Ave NW;74
72;2022-09-20;18th St & Wyoming Ave NW;69
73;2022-08-12;18th St & Wyoming Ave NW;172
74;2022-06-27;18th St & Wyoming Ave NW;54
75;2022-08-22;18th St & Wyoming Ave NW;58
76;2022-07-17;18th St & Wyoming Ave NW;81
77;2022-06-08;18th St & Wyoming Ave NW;72
78;2022-09-12;18th St & Wyoming Ave NW;61
79;2022-05-20;18th St & Wyoming Ave NW;70
80;2022-05-30;18th St & Wyoming Ave NW;53
81;2022-06-25;18th St & Wyoming Ave NW;84
82;2022-08-21;18th St & Wyoming Ave NW;152
83;2022-06-09;18th St & Wyoming Ave NW;63
84;2022-06-18;18th St & Wyoming Ave NW;100
85;2022-09-19;18th St & Wyoming Ave NW;56
86;2022-09-11;18th St & Wyoming Ave NW;93
87;2022-08-14;18th St & Wyoming Ave NW;136
88;2022-09-13;18th St & Wyoming Ave NW;71
89;2022-07-10;18th St & Wyoming Ave NW;85
90;2022-06-21;18th St & Wyoming Ave NW;77
91;2022-08-17;18th St & Wyoming Ave NW;156
92;2022-06-29;18th St & Wyoming Ave NW;74
93;2022-09-21;18th St & Wyoming Ave NW;63
94;2022-07-11;18th St & Wyoming Ave NW;56
95;2022-07-09;18th St & Wyoming Ave NW;75
96;2022-06-04;18th St & Wyoming Ave NW;116
97;2022-06-24;18th St & Wyoming Ave NW;83
98;2022-04-14;18th St & Wyoming Ave NW;74
99;2022-09-22;18th St & Wyoming Ave NW;90
100;2022-08-18;18th St & Wyoming Ave NW;106
101;2022-08-16;18th St & Wyoming Ave NW;164
102;2022-09-09;18th St & Wyoming Ave NW;90
103;2022-09-07;18th St & Wyoming Ave NW;60
104;2022-08-13;18th St & Wyoming Ave NW;176
105;2022-06-28;18th St & Wyoming Ave NW;NA
106;2022-05-29;18th St & Wyoming Ave NW;86
107;2022-09-08;18th St & Wyoming Ave NW;70
108;2022-09-18;18th St & Wyoming Ave NW;65
109;2022-09-10;18th St & Wyoming Ave NW;69
110;2022-09-15;18th St & Wyoming Ave NW;76
111;2022-06-03;18th St & Wyoming Ave NW;67
112;2022-06-05;18th St & Wyoming Ave NW;81
113;2022-09-17;18th St & Wyoming Ave NW;85
114;2022-08-15;18th St & Wyoming Ave NW;70
115;2022-06-10;18th St & Wyoming Ave NW;90
116;2022-06-06;18th St & Wyoming Ave NW;63
117;2022-06-20;18th St & Wyoming Ave NW;60
118;2022-06-12;18th St & Wyoming Ave NW;73
119;2022-05-19;18th St & Wyoming Ave NW;54
120;2022-05-27;18th St & Wyoming Ave NW;57
121;2022-11-06;18th St & Wyoming Ave NW;82
122;2022-06-07;18th St & Wyoming Ave NW;56
123;2022-05-28;18th St & Wyoming Ave NW;99
124;2022-09-14;18th St & Wyoming Ave NW;86
125;2022-05-17;18th St & Wyoming Ave NW;46
126;2022-11-07;18th St & Wyoming Ave NW;48
127;2022-09-16;18th St & Wyoming Ave NW;87
128;2022-06-19;18th St & Wyoming Ave NW;82
129;2022-09-26;18th St & Wyoming Ave NW;44
130;2022-06-23;18th St & Wyoming Ave NW;61
131;2022-06-11;18th St & Wyoming Ave NW;128
132;2022-05-23;18th St & Wyoming Ave NW;37
133;2022-03-07;18th St & Wyoming Ave NW;31
134;2022-05-16;18th St & Wyoming Ave NW;47
135;2022-05-15;18th St & Wyoming Ave NW;67
136;2022-04-13;18th St & Wyoming Ave NW;67
137;2022-11-05;18th St & Wyoming Ave NW;83
138;2022-05-14;18th St & Wyoming Ave NW;89
139;2022-11-12;18th St & Wyoming Ave NW;98
140;2022-09-25;18th St & Wyoming Ave NW;70
141;2022-05-13;18th St & Wyoming Ave NW;58
142;2022-05-18;18th St & Wyoming Ave NW;72
143;2022-09-27;18th St & Wyoming Ave NW;59
144;2022-04-16;18th St & Wyoming Ave NW;69
145;2022-04-24;18th St & Wyoming Ave NW;86
146;2022-10-07;18th St & Wyoming Ave NW;79
147;2022-10-13;18th St & Wyoming Ave NW;42
148;2022-11-11;18th St & Wyoming Ave NW;45
149;2022-03-19;18th St & Wyoming Ave NW;80
150;2022-05-12;18th St & Wyoming Ave NW;57
151;2022-05-03;18th St & Wyoming Ave NW;62
152;2022-04-23;18th St & Wyoming Ave NW;113
153;2022-02-23;18th St & Wyoming Ave NW;44
154;2022-05-02;18th St & Wyoming Ave NW;89
155;2022-10-06;18th St & Wyoming Ave NW;65
156;2022-11-01;18th St & Wyoming Ave NW;70
157;2022-04-22;18th St & Wyoming Ave NW;64
158;2022-05-25;18th St & Wyoming Ave NW;64
159;2022-05-05;18th St & Wyoming Ave NW;58
160;2022-05-11;18th St & Wyoming Ave NW;60
161;2022-04-12;18th St & Wyoming Ave NW;56
162;2022-05-04;18th St & Wyoming Ave NW;64
163;2022-11-02;18th St & Wyoming Ave NW;65
164;2022-04-26;18th St & Wyoming Ave NW;28
165;2022-03-06;18th St & Wyoming Ave NW;45
166;2022-10-26;18th St & Wyoming Ave NW;71
167;2022-09-29;18th St & Wyoming Ave NW;75
168;2022-10-16;18th St & Wyoming Ave NW;65
169;2022-09-28;18th St & Wyoming Ave NW;63
170;2022-10-17;18th St & Wyoming Ave NW;55
171;2022-05-10;18th St & Wyoming Ave NW;71
172;2022-05-24;18th St & Wyoming Ave NW;46
173;2022-10-25;18th St & Wyoming Ave NW;75
174;2022-04-15;18th St & Wyoming Ave NW;58
175;2022-11-04;18th St & Wyoming Ave NW;109
176;2022-03-31;18th St & Wyoming Ave NW;33
