wind_geschwindigkeit;niederschlag;schnee;schnee_tiefe
7,83;0;0;0
5,59;0;0;0
12,75;0;0;0
7,61;0;0;0
7,38;0;0;0
8,72;0,08;0;0
7,61;0;0;0
6,93;0;0;0
10,96;0;0;0
8,28;0;0;0
9,17;0,93;0;0
6,71;0;0;0
6,71;0,2;0;0
9,84;0,26;0;0
6,49;0;0;0
8,95;0;0;0
7,83;0;0;0
-1;0;0;0
8,05;0;0;0
5,82;0,52;0;0
8,72;0;0;0
10,51;0;0;0
9,84;0;0;0
5,82;0;0;0
6,49;0;0;0
10,51;0;0;0
5,82;0;0;0
11,18;0;0;0
4,92;0;0;0
9,62;0,14;0;0
6,04;0;0;0
5,14;0;0;0
4,7;0,01;0;0
8,28;0;0;0
4,03;0,02;0;0
5,82;0;0;0
6,04;0,53;0;0
6,71;0,46;0;0
7,16;0;0;0
10,29;0;0;0
8,72;0,09;0;0
6,26;0;0;0
6,71;0;0;0
11,41;0;0;0
6,26;0;0;0
6,93;0;0;0
-1;0;0;0
10,51;1,5;0;0
5,82;0;0;0
6,71;1,38;0;0
4,92;0;0;0
6,49;0;0;0
7,61;0;0;0
5,82;0;0;0
6,04;0,04;0;0
7,83;0;0;0
11,41;0;0;0
7,61;0,04;0;0
5,59;0;0;0
7,61;0;0;0
4,7;0,48;0;0
7,61;0,03;0;0
6,26;1,66;0;0
10,74;0,44;0;0
6,26;0,51;0;0
8,5;0;0;0
10,74;0,09;0;0
8,5;0,82;0;0
8,5;0;0;0
4,25;0;0;0
6,93;0;0;0
10,07;0;0;0
9,4;0,21;0;0
7,16;0,03;0;0
4,7;0,01;0;0
5,82;0,02;0;0
4,92;0,11;0;0
7,61;0;0;0
8,5;0;0;0
8,5;0;0;0
7,16;0,16;0;0
11,86;0,06;0;0
16,11;0;0;0
8,05;0;0;0
6,26;0,86;0;0
6,93;0,12;0;0
8,95;0;0;0
6,93;0;0;0
6,93;0;0;0
4,7;0;0;0
9,17;0;0;0
5,82;0;0;0
6,26;0;0;0
10,29;4,05;0;0
6,26;0;0;0
