mittlere_temperatur;max_temperatur;min_temperatur
NA;91;74
NA;73;61
NA;70;54
86;97;77
86;96;77
85;95;79
85;95;76
85;94;74
84;99;73
84;94;76
84;95;74
84;94;75
84;92;74
84;91;75
84;91;74
83;93;78
83;94;75
83;92;77
83;93;75
83;94;73
83;92;73
83;89;75
82;92;76
82;96;71
82;93;73
82;92;74
82;92;74
82;90;76
82;91;74
81;96;74
81;91;72
81;90;73
80;94;72
80;91;72
80;89;74
80;88;75
80;88;74
80;89;72
80;88;73
80;88;73
80;87;74
80;89;71
80;89;71
80;88;72
80;90;69
80;89;70
80;90;68
80;89;69
80;89;69
80;87;70
79;94;74
79;91;71
79;89;72
79;89;71
79;88;72
79;89;70
79;85;74
79;85;73
79;91;66
79;88;69
79;85;72
79;82;73
78;92;70
78;91;70
78;89;72
78;87;73
78;86;73
78;86;73
78;87;69
78;80;75
78;86;68
78;85;69
78;83;71
77;86;74
77;86;72
77;88;69
77;84;73
77;89;67
77;88;67
77;87;68
77;81;73
77;84;67
77;79;67
76;88;67
76;83;72
76;84;69
76;83;66
75;83;70
75;86;66
75;86;66
75;86;65
75;86;65
75;84;66
75;77;71
75;86;61
75;81;64
75;84;60
75;83;60
74;87;64
74;82;68
74;84;65
74;79;70
74;84;64
74;82;64
74;82;63
73;82;68
73;84;63
73;83;64
73;83;64
73;80;67
73;80;64
72;82;63
72;78;67
72;83;61
72;81;61
72;83;58
71;81;67
71;86;61
71;79;66
71;79;66
71;80;64
71;80;63
71;81;61
71;84;57
71;81;59
70;81;59
70;80;60
70;80;60
70;73;66
70;73;65
70;75;62
70;80;54
69;82;64
69;81;63
69;86;56
69;79;62
69;71;65
69;72;54
67;81;59
67;76;63
67;75;58
67;75;56
66;80;59
66;82;55
66;81;53
66;71;56
65;73;61
65;76;57
65;75;57
65;74;58
65;78;53
65;77;42
64;79;54
64;79;54
64;76;57
64;77;52
64;72;57
64;69;58
64;75;51
63;80;53
63;74;57
63;71;53
62;74;57
62;78;50
62;69;59
62;71;55
62;71;54
62;73;51
62;71;53
62;74;49
62;64;59
62;64;59
62;72;50
61;75;52
61;75;51
61;72;54
61;76;49
61;69;53
61;70;51
61;64;53
60;67;57
60;72;51
60;72;51
60;64;56
60;67;51
60;62;53
60;63;46
59;68;54
59;74;47
59;67;53
59;64;56
59;71;47
59;62;50
59;62;49
58;73;45
58;65;46
58;62;46
57;74;47
57;66;53
57;71;44
57;67;48
57;59;46
56;68;51
56;70;48
56;72;45
56;68;49
56;71;44
56;62;53
56;71;43
56;68;44
56;63;43
55;64;49
55;61;50
54;70;47
54;68;42
54;65;45
54;67;42
54;64;45
54;57;51
54;66;41
54;60;47
54;62;44
54;55;47
54;68;31
53;71;42
53;66;42
53;55;49
53;54;48
53;57;43
53;54;44
52;62;44
52;61;45
52;57;49
52;56;48
52;58;42
51;64;45
51;67;40
51;66;40
51;55;49
51;63;40
51;58;44
51;54;41
51;54;41
51;57;35
50;62;41
50;62;40
50;58;44
50;59;42
50;62;37
50;62;35
49;59;46
49;63;38
48;67;33
48;62;37
48;60;39
48;59;39
48;59;38
48;58;39
48;56;41
46;63;33
46;55;40
46;52;37
46;48;40
45;61;36
45;60;35
45;61;33
45;51;36
44;66;32
44;57;40
44;61;32
44;53;39
44;53;36
44;51;37
44;47;40
43;56;35
43;58;32
43;50;34
42;46;37
42;46;32
42;46;27
41;55;32
41;44;36
41;50;24
40;54;30
40;50;31
40;44;36
40;49;30
40;47;32
40;42;33
39;59;33
39;55;30
39;52;31
39;51;30
39;44;28
38;44;33
38;48;28
38;44;28
38;46;25
37;54;28
37;51;26
37;42;34
37;42;30
37;41;30
36;49;29
36;44;32
36;49;26
36;41;31
35;47;30
35;42;28
34;48;25
34;41;31
34;41;27
33;35;26
32;47;23
32;44;25
32;36;25
31;43;23
31;40;24
30;39;25
30;39;21
30;35;24
30;34;23
29;44;21
29;39;23
29;33;25
29;34;20
28;33;22
27;36;20
27;33;22
27;30;22
25;27;19
24;34;16
24;32;18
22;40;17
